uprava,opstina,naselje,ustanova,naziv,ulica,broj,postanski_broj,tip_lokacije
Крушевац,Александровац,Александровац,ПУ Наша радост,Предшколска установа Наша радост,Болничка,3,37230,Матична локација
Ниш,Алексинац,Алексинац,ПУ Лане,ПУ ЛАНЕ Централни објекат,Мишићева,1,18220,Матична локација
Ниш,Алексинац,Алексинац,ПУ Лане,ПУ ЛАНЕ одељење у Гимназији,Тихомира Ђорђевића,бб,18220,Издвојена локација
Ниш,Алексинац,Алексинац,ПУ Лане,ПУ ЛАНЕ Објекат Гордана Брајовић Гоца,Лоле Рибара,6,18220,Издвојена локација
Ниш,Алексинац,Алексинац,ПУ Лане,ПУ ЛАНЕ - Зелена дружина,Књаза Милоша,бб,18220,Издвојена локација
Ниш,Алексинац,Алексинац,ПУ Лане,ПУ ЛАНЕ Објекат у Високој школи за образовање васпитача,Пиварска,бб,18220,Издвојена локација
Ниш,Алексинац,Алексиначки Рудник,ПУ Лане,ПУ ЛАНЕ Објекат на Алексиначком руднику,Трг рудара,бб,18226,Издвојена локација
Ниш,Алексинац,Бобовиште,ПУ Лане,ПУ ЛАНЕ Објекат у Бобовишту,Бобовиште,бб,18224,Издвојена локација
Ниш,Алексинац,Врћеновица,ПУ Лане,ПУ ЛАНЕ Објекат у Врћеновици,Врћеновица,бб,18221,Издвојена локација
Ниш,Алексинац,Глоговица,ПУ Лане,ПУ ЛАНЕ Објекат у Глоговици,Глоговица,бб,18220,Издвојена локација
Ниш,Алексинац,Гредетин,ПУ Лане,ПУ ЛАНЕ Објекат у Гредетину,Гредетин,бб,18213,Издвојена локација
Ниш,Алексинац,Грејач,ПУ Лане,ПУ ЛАНЕ Објекат у Грејачу,Грејач,бб,18212,Издвојена локација
Ниш,Алексинац,Добрујевац,ПУ Лане,ПУ ЛАНЕ Објекат у Добрујевцу,Добрујевац,бб,18225,Издвојена локација
Ниш,Алексинац,Житковац,ПУ Лане,ПУ ЛАНЕ Објекат у Житковцу - полудневни боравак,Стојана Јанићијевића,бб,18210,Издвојена локација
Ниш,Алексинац,Житковац,ПУ Лане,ПУ ЛАНЕ Објекат у Житковцу,Драгослава Вујића,19,18210,Издвојена локација
Ниш,Алексинац,Јаковље,ПУ Лане,ПУ ЛАНЕ Објекат у Јаковљу,Јаковље,бб,18213,Издвојена локација
Ниш,Алексинац,Корман,ПУ Лане,ПУ ЛАНЕ Објекат у Корману,Корман,бб,18216,Издвојена локација
Ниш,Алексинац,Краљево,ПУ Лане,ПУ ЛАНЕ Објекат у Краљеву,Краљево,бб,18220,Издвојена локација
Ниш,Алексинац,Лужане,ПУ Лане,ПУ ЛАНЕ Објекат у Лужану,Лужане,бб,18228,Издвојена локација
Ниш,Алексинац,Мозгово,ПУ Лане,ПУ ЛАНЕ Објекат у Мозгову,Мозгово,бб,18229,Издвојена локација
Ниш,Алексинац,Моравац,ПУ Лане,ПУ ЛАНЕ Објекат у Моравцу,Моравац,бб,18210,Издвојена локација
Ниш,Алексинац,Прћиловица,ПУ Лане,ПУ ЛАНЕ Објекат у Прћиловици,Прћиловица,бб,18210,Издвојена локација
Ниш,Алексинац,Рутевац,ПУ Лане,ПУ ЛАНЕ Објекат у Рутевцу,Рутевац,бб,18224,Издвојена локација
Ниш,Алексинац,Суботинац,ПУ Лане,ПУ ЛАНЕ Објекат у Суботинцу,Суботинац,бб,18227,Издвојена локација
Ниш,Алексинац,Тешица,ПУ Лане,ПУ ЛАНЕ Објекат у Тешици,Тешица,бб,18212,Издвојена локација
Ниш,Алексинац,Трњане,ПУ Лане,ПУ ЛАНЕ Објекат у Трњану,Трњане,бб,18213,Издвојена локација
Крагујевац,Аранђеловац,Аранђеловац,ПУ Дуга,ПРЕДШКОЛСКА УСТАНОВА ДУГА,Књаза Милоша,178,34300,Матична локација
Крагујевац,Аранђеловац,Аранђеловац,ПУ Дуга,Вртић Бубамара,Пушкинова,бб,34300,Издвојена локација
Крагујевац,Аранђеловац,Аранђеловац,ПУ Дуга,Вртић Осмех,Цара Душана,Л-6,34300,Издвојена локација
Крагујевац,Аранђеловац,Аранђеловац,ПУ Дуга,Вртић Сунце,Ратних војних инвалида,10,34300,Издвојена локација
Крагујевац,Аранђеловац,Аранђеловац,ПУ Дуга,Градска болница,Проте Атанасија Буковичког,бб,34300,Издвојена локација
Крагујевац,Аранђеловац,Аранђеловац,ПУ Дуга,Вртић Лептирић,Село Даросава,бб,34305,Издвојена локација
Крагујевац,Аранђеловац,Аранђеловац,ПУ Дуга,Вртић Звончић,Светогорска,7,34300,Издвојена локација
Крагујевац,Аранђеловац,Аранђеловац,ПУ Дуга,ОШ Илија Гарашанин,Јосифа Панчића,7,34300,Издвојена локација
Крагујевац,Аранђеловац,Аранђеловац,ПУ Дуга,Вртић Дуга,Војводе Путника,9,34300,Издвојена локација
Крагујевац,Аранђеловац,Аранђеловац,ПУ Дуга,Специјална болница Буковичка бања,Мишарска,бб,34300,Издвојена локација
Крагујевац,Аранђеловац,Бања,ПУ Дуга,Звездица,Бања,бб,34304,Издвојена локација
Крагујевац,Аранђеловац,Брезовац,ПУ Дуга,Брезовац,Брезовац,бб,34303,Издвојена локација
Крагујевац,Аранђеловац,Буковик,ПУ Дуга,Вртић Радост,Буковик,бб,34303,Издвојена локација
Крагујевац,Аранђеловац,Венчане,ПУ Дуга,Маслачак,Венчане,бб,34306,Издвојена локација
Крагујевац,Аранђеловац,Јеловик,ПУ Дуга,Јеловик,Јеловик,бб,34309,Издвојена локација
Крагујевац,Аранђеловац,Копљаре,ПУ Дуга,Вртић Бамби,Копљаре,бб,34308,Издвојена локација
Крагујевац,Аранђеловац,Мисача,ПУ Дуга,ОШ Светолик Ранковић,Мисача,бб,34302,Издвојена локација
Крагујевац,Аранђеловац,Орашац,ПУ Дуга,Вртић Чаролија,Орашац,бб,34308,Издвојена локација
Крагујевац,Аранђеловац,Раниловић,ПУ Дуга,Петар Пан,Раниловићи,бб,34302,Издвојена локација
Крагујевац,Аранђеловац,Стојник,ПУ Дуга,Вртић Мали Принц,Стојник,бб,34307,Издвојена локација
Крагујевац,Аранђеловац,Тулеж,ПУ Дуга,Пчелица,Тулеж,бб,34306,Издвојена локација
Ужице,Ариље,Ариље,ПУ Дечји Вртић Ариље,Предшколска установа Ариље,Милоша Глишића,34,31230,Матична локација
Ужице,Ариље,Ариље,ПУ Дечји Вртић Ариље,Радна јединица у ул.Браће Михајловића бр.8,Браће Михајловића,8,31230,Издвојена локација
Ужице,Ариље,Поглед,ПУ Дечји Вртић Ариље,Радна јединица у насељу Поглед,/,/,31230,Издвојена локација
Ниш,Бабушница,Бабушница,ПУ Дечја радост,Предшколска установа Дечја радост Бабушница,Седме бригаде,18,18330,Матична локација
Ниш,Бабушница,Звонце,ПУ Дечја радост,ИО Звонце,Звонце,бб,18333,Издвојена локација
Ужице,Бајина Башта,Бајина Башта,ПУ Невен,Предшколска установа Невен,Вука Караџића,34,31250,Матична локација
Ужице,Бајина Башта,Бачевци,ПУ Невен,ИО ПУ,/,/,31258,Издвојена локација
Ужице,Бајина Башта,Пилица,ПУ Невен,ИЛ ПУ,/,/,31250,Издвојена локација
Ужице,Бајина Башта,Рогачица,ПУ Невен,ИО,/,/,31255,Издвојена локација
Крагујевац,Баточина,Баточина,ПУ Полетарац,ПУ ПОЛЕТАРАЦ,Краља Петра Првог,73,34227,Матична локација
Ниш,Бела Паланка,Бела Паланка,ПУ Драгица Лаловић,Објекат Изворчић,Лоле Рибара,бб,18310,Матична локација
Ниш,Бела Паланка,Бела Паланка,ПУ Драгица Лаловић,Објекат Дечја радост,Обилићева,бб,18310,Издвојена локација
Ниш,Бела Паланка,Долац (насеље),ПУ Драгица Лаловић,Издвојена васпитна група у Насељу Долац,Насеље Долац,бб,18314,Издвојена локација
Ниш,Бела Паланка,Црвена Река,ПУ Драгица Лаловић,Издвојена васпитна група у Црвеној Реци,Црвена Река,бб,18313,Издвојена локација
Београд,Београд - Барајево,Барајево,ПУ Полетарац,Предшколска установа Полетарац-објекат Полетарац,Светосавска,83,11460,Матична локација
Београд,Београд - Барајево,Арнајево,ПУ Полетарац,Припремна предшколска група Арнајево,Космајског одреда,1,11461,Издвојена локација
Београд,Београд - Барајево,Барајево,ПУ Полетарац,Објекат Свети Сава,Барајевска,7 а,11460,Издвојена локација
Београд,Београд - Барајево,Барајево,ПУ Полетарац,Депаданс Слончићи,Светосавска,83,11460,Издвојена локација
Београд,Београд - Барајево,Барајево,ПУ Полетарац,Припремна предшколска група Равни гај,Душана Дује Дамњановића,76,11460,Издвојена локација
Београд,Београд - Барајево,Барајево,ПУ Полетарац,Депаданс Звончићи,Светосавска,56,11460,Издвојена локација
Београд,Београд - Барајево,Барајево,ПУ Полетарац,Припремна предшколска група Глумчево брдо,Глумчево брдо,456,11460,Издвојена локација
Београд,Београд - Барајево,Баћевац,ПУ Полетарац,Припремна предшколска група Баћевац,Космајских партизана,55,11460,Издвојена локација
Београд,Београд - Барајево,Бождаревац,ПУ Полетарац,Припремна предшколска група Бождаревац,Драгомира Миловановића,61,11460,Издвојена локација
Београд,Београд - Барајево,Велики Борак,ПУ Полетарац,Припремна предшколска група Велики Борак,Карађорђева,1,11462,Издвојена локација
Београд,Београд - Барајево,Вранић,ПУ Полетарац,Објекат Јагодица,Трг палих бораца и жртава фашистичког терора,1,11427,Издвојена локација
Београд,Београд - Барајево,Гунцати,ПУ Полетарац,Припремна предшколска група Гунцати,Палих бораца,42,11460,Издвојена локација
Београд,Београд - Барајево,Мељак,ПУ Полетарац,Објекат Врапчићи,Маршала Тита,30 б,11426,Издвојена локација
Београд,Београд - Барајево,Рожанци,ПУ Полетарац,Припремна предшколска група Рожанци,Космајских партизана,24,11461,Издвојена локација
Београд,Београд - Барајево,Шиљаковац,ПУ Полетарац,Припремна предшкоска група Шиљаковац,Добривоја Максимовића,61,11462,Издвојена локација
Београд,Београд - Вождовац,Београд (Вождовац),ПУ Чика Јова Змај,Предшколска установа ЧИКА ЈОВА ЗМАЈ 1 и 2,Саве Шумановића,1,11010,Матична локација
Београд,Београд - Вождовац,Бели Поток,ПУ Чика Јова Змај,Радосно детињство,Пут за колонију,57,11232,Издвојена локација
Београд,Београд - Вождовац,Београд (Вождовац),ПУ Чика Јова Змај,Пинокио,Богдана Поповића бб,бб,11010,Издвојена локација
Београд,Београд - Вождовац,Београд (Вождовац),ПУ Чика Јова Змај,Лептирић,Војводе Степе,405м,11041,Издвојена локација
Београд,Београд - Вождовац,Београд (Вождовац),ПУ Чика Јова Змај,Сестре Букумировић,Игњата Јоба,69,11050,Издвојена локација
Београд,Београд - Вождовац,Београд (Вождовац),ПУ Чика Јова Змај,Шећерко,Владимира Томановића,25,11050,Издвојена локација
Београд,Београд - Вождовац,Београд (Вождовац),ПУ Чика Јова Змај,Штрумпфета,Николе Ђурковића,44,11010,Издвојена локација
Београд,Београд - Вождовац,Београд (Вождовац),ПУ Чика Јова Змај,Петар Пан,Јове Илића,144а,11040,Издвојена локација
Београд,Београд - Вождовац,Београд (Вождовац),ПУ Чика Јова Змај,Љиљан,Лесковачка,4,11010,Издвојена локација
Београд,Београд - Вождовац,Београд (Вождовац),ПУ Чика Јова Змај,Плави чуперак,Драгице Кончар,8а,11010,Издвојена локација
Београд,Београд - Вождовац,Београд (Вождовац),ПУ Чика Јова Змај,1001 радост,Струмичка,88а,11050,Издвојена локација
Београд,Београд - Вождовац,Београд (Вождовац),ПУ Чика Јова Змај,Цицибан,Струмичка,63,11107,Издвојена локација
Београд,Београд - Вождовац,Београд (Вождовац),ПУ Чика Јова Змај,Дизниленд,Адмирала Вуковића,5,11010,Издвојена локација
Београд,Београд - Вождовац,Београд (Вождовац),ПУ Чика Јова Змај,Мала Сирена,Каплара Момчила Гаврића,14,11041,Издвојена локација
Београд,Београд - Вождовац,Београд (Вождовац),ПУ Чика Јова Змај,Чика Андра 1 и 2,Заплањска,16,11010,Издвојена локација
Београд,Београд - Вождовац,Београд (Вождовац),ПУ Чика Јова Змај,Ђулићи,Пашманска,16,11107,Издвојена локација
Београд,Београд - Вождовац,Београд (Вождовац),ПУ Чика Јова Змај,Мила Јевтовић,Данијелова,24,11010,Издвојена локација
Београд,Београд - Вождовац,Београд (Вождовац),ПУ Чика Јова Змај,Љоља,Црнотравска,11в,11040,Издвојена локација
Београд,Београд - Вождовац,Београд (Вождовац),ПУ Чика Јова Змај,Невен,Мајска,9,11221,Издвојена локација
Београд,Београд - Вождовац,Београд (Вождовац),ПУ Чика Јова Змај,Васа Чарапић,Васа Чарапић,56,11010,Издвојена локација
Београд,Београд - Вождовац,Београд (Вождовац),ПУ Чика Јова Змај,Брезе,Милорада Умјеновића,9,11050,Издвојена локација
Београд,Београд - Вождовац,Београд (Вождовац),ПУ Чика Јова Змај,Жикица Јовановић,Војводе Степе,195,11010,Издвојена локација
Београд,Београд - Вождовац,Београд (Вождовац),ПУ Чика Јова Змај,Наша деца,Пиротска,17,11107,Издвојена локација
Београд,Београд - Вождовац,Београд (Вождовац),ПУ Чика Јова Змај,Ненад Парента,Генерала Анрија,31,11040,Издвојена локација
Београд,Београд - Вождовац,Београд (Вождовац),ПУ Чика Јова Змај,Зрнце,Браће Јерковић,163,11010,Издвојена локација
Београд,Београд - Вождовац,Београд (Вождовац),ПУ Чика Јова Змај,Бисери,Љермонтова,9,11107,Издвојена локација
Београд,Београд - Вождовац,Београд (Вождовац),ПУ Чика Јова Змај,Дечија Радост,Браће Ковач,74,11107,Издвојена локација
Београд,Београд - Вождовац,Пиносава,ПУ Чика Јова Змај,Вивак,Булевар ЈНА,18,11222,Издвојена локација
Београд,Београд - Вождовац,Рипањ,ПУ Чика Јова Змај,Колибри,Ерчанска,1,11232,Издвојена локација
Београд,Београд - Врачар,Београд (Врачар),ПУ Врачар,Предшколска установа Врачар,Бјелановићева,2,11118,Матична локација
Београд,Београд - Врачар,Београд (Врачар),ПУ Врачар,јасле МАЗА,Петроградска,3,11118,Издвојена локација
Београд,Београд - Врачар,Београд (Врачар),ПУ Врачар,комб.обј. ЛУЊА,Метохијска,42,11118,Издвојена локација
Београд,Београд - Врачар,Београд (Врачар),ПУ Врачар,вртић ЛЕПА ВИТАС,Хаџи Мелентијева,35,11118,Издвојена локација
Београд,Београд - Врачар,Београд (Врачар),ПУ Врачар,јасле ПАЛЧИЋ,Вукице Митровић,10,11118,Издвојена локација
Београд,Београд - Врачар,Београд (Врачар),ПУ Врачар,вртић ГУЛИВЕР,Младе Босне,5,11118,Издвојена локација
Београд,Београд - Врачар,Београд (Врачар),ПУ Врачар,вртић БУБАМАРА,Тимочка,24,11118,Издвојена локација
Београд,Београд - Врачар,Београд (Врачар),ПУ Врачар,Централна кухиња,Бјелановићева,2,11118,Издвојена локација
Београд,Београд - Врачар,Београд (Врачар),ПУ Врачар,комб.обј. БИСЕР,Светозара Марковића,14-16,11118,Издвојена локација
Београд,Београд - Врачар,Београд (Врачар),ПУ Врачар,вртић КАСПЕР,Десанке Максимовић,17,11118,Издвојена локација
Београд,Београд - Врачар,Београд (Врачар),ПУ Врачар,јасле ЗВОНЧИЋ,Симе Игуманова,16,11118,Издвојена локација
Београд,Београд - Врачар,Београд (Врачар),ПУ Врачар,комб.обј. МИЋА И АЋИМ,Војводе Драгомира,11,11118,Издвојена локација
Београд,Београд - Врачар,Београд (Врачар),ПУ Врачар,вртић ФИЋА,Марулићева,8,11118,Издвојена локација
Београд,Београд - Врачар,Београд (Врачар),ПУ Врачар,јасле ЧАРОЛИЈЕ,Кумановска,11,11118,Издвојена локација
Београд,Београд - Врачар,Београд (Врачар),ПУ Врачар,вртић НАДА ПУРИЋ,Крунска,68,11118,Издвојена локација
Београд,Београд - Врачар,Београд (Врачар),ПУ Врачар,вртић СВЕТИ САВА,Авалска,8,11118,Издвојена локација
Београд,Београд - Звездара,Београд (Звездара),ПУ Звездара Вртић Дуга,Предшколска установа Звездара,Суботичка,2,11050,Матична локација
Београд,Београд - Звездара,Београд (Звездара),ПУ Звездара Вртић Дуга,Организациона јединица Сунчица,Војводе Богдана,1,11120,Издвојена локација
Београд,Београд - Звездара,Београд (Звездара),ПУ Звездара Вртић Дуга,Организациона јединица Дуга,Суботичка,2,11050,Издвојена локација
Београд,Београд - Звездара,Београд (Звездара),ПУ Звездара Вртић Дуга,Организациона јединица Маштарије,Прешевска,61а,11160,Издвојена локација
Београд,Београд - Звездара,Београд (Звездара),ПУ Звездара Вртић Дуга,Организациона Јединица Мали Маслачак,Петраркина,43567,11160,Издвојена локација
Београд,Београд - Звездара,Београд (Звездара),ПУ Звездара Вртић Дуга,Организациона јединица Колибри,Десет авијатичара,2а,11050,Издвојена локација
Београд,Београд - Звездара,Београд (Звездара),ПУ Звездара Вртић Дуга,Организациона јединица Звездица,Пупинова,4,11160,Издвојена локација
Београд,Београд - Звездара,Београд (Звездара),ПУ Звездара Вртић Дуга,Организациона јединица Дечији луг,Павла Васића,2а,11050,Издвојена локација
Београд,Београд - Звездара,Београд (Звездара),ПУ Звездара Вртић Дуга,Организациона јединица Плави чуперак,Вјекослава Ковача,3а,11050,Издвојена локација
Београд,Београд - Звездара,Београд (Звездара),ПУ Звездара Вртић Дуга,Организациона јединица Сунце,16. октобра,8,11160,Издвојена локација
Београд,Београд - Звездара,Београд (Звездара),ПУ Звездара Вртић Дуга,Организациона јединица Наша бајка,Поп-Стојанова,7,11050,Издвојена локација
Београд,Београд - Звездара,Београд (Звездара),ПУ Звездара Вртић Дуга,Организациона јединица Маслачак,Петраркина,3,11160,Издвојена локација
Београд,Београд - Звездара,Београд (Звездара),ПУ Звездара Вртић Дуга,Организациона јединица Лавић,Сопоћанска,3,11050,Издвојена локација
Београд,Београд - Звездара,Београд (Звездара),ПУ Звездара Вртић Дуга,Организациона јединица Драгуљче,Ђурићева,3,11120,Издвојена локација
Београд,Београд - Звездара,Београд (Звездара),ПУ Звездара Вртић Дуга,Организациона јединица Облачак,Веселина Чајкановића,45,11050,Издвојена локација
Београд,Београд - Звездара,Београд (Звездара),ПУ Звездара Вртић Дуга,Организациона јединица Весељко,Др. Велизара Косановића,7,11050,Издвојена локација
Београд,Београд - Звездара,Београд (Звездара),ПУ Звездара Вртић Дуга,Организациона Јединица 1300 Каплара,Панчина,1,11060,Издвојена локација
Београд,Београд - Звездара,Београд (Звездара),ПУ Звездара Вртић Дуга,Организациона јединица Славуј,Чеде Мијатовића,6,11120,Издвојена локација
Београд,Београд - Звездара,Београд (Звездара),ПУ Звездара Вртић Дуга,Организациона јединица Звончица,Љубише Миодраговића,3,11050,Издвојена локација
Београд,Београд - Звездара,Београд (Звездара),ПУ Звездара Вртић Дуга,Организациона јединица Чигра,Устаничка,194а,11050,Издвојена локација
Београд,Београд - Звездара,Београд (Звездара),ПУ Звездара Вртић Дуга,Организациона јединица Жубор,Др. Велизара Косановића,43,11050,Издвојена локација
Београд,Београд - Звездара,Београд (Звездара),ПУ Звездара Вртић Дуга,Организациона јединица Цврчак,Захумска,23б,11120,Издвојена локација
Београд,Београд - Звездара,Београд (Звездара),ПУ Звездара Вртић Дуга,Организациона јединица Звездани гај,Вељка Дугошевића,48,11060,Издвојена локација
Београд,Београд - Звездара,Београд (Звездара),ПУ Звездара Вртић Дуга,Организациона јединица Лане,Ариљска,бб,11160,Издвојена локација
Београд,Београд - Звездара,Београд (Звездара),ПУ Звездара Вртић Дуга,Организациона јединица Бубамара,Меше Селимовића,11,11160,Издвојена локација
Београд,Београд - Звездара,Београд (Звездара),ПУ Звездара Вртић Дуга,Организациона јединица Звездара,Чингријина,1а,11160,Издвојена локација
Београд,Београд - Звездара,Београд (Звездара),ПУ Звездара Вртић Дуга,Организациона јединица Змајчић,Петра Шкундрића,бб,11050,Издвојена локација
Београд,Београд - Звездара,Београд (Звездара),ПУ Звездара Вртић Дуга,Организациона јединица Зора,Панте Срећковића,10,11060,Издвојена локација
Београд,Београд - Звездара,Београд (Звездара),ПУ Звездара Вртић Дуга,Организациона јединица Кошута,Благајска,4,11050,Издвојена локација
Београд,Београд - Звездара,Београд (Звездара),ПУ Звездара Вртић Дуга,Организациона јединица Зека,Византијска,бб,11126,Издвојена локација
Београд,Београд - Земун,Београд (Земун),ПУ Сима Милошевић,Предшколска Установа Др Сима Милошевић са ОЈ Чаролија и централном кухињом,Капетана Радича Петровића,26,11080,Матична локација
Београд,Београд - Земун,Београд (Земун),ПУ Сима Милошевић,ОЈ Искрица,Железничка,4,11080,Издвојена локација
Београд,Београд - Земун,Београд (Земун),ПУ Сима Милошевић,ОЈ Бубице,Официрска колонија,10,11273,Издвојена локација
Београд,Београд - Земун,Београд (Земун),ПУ Сима Милошевић,ОЈ Пепељуга,Цара Душана,123,11080,Издвојена локација
Београд,Београд - Земун,Београд (Земун),ПУ Сима Милошевић,ОЈ Златни бор,Златиборска,46,11080,Издвојена локација
Београд,Београд - Земун,Београд (Земун),ПУ Сима Милошевић,Издвојео одељење при ОШ Сутјеска,Задругарска,1,11080,Издвојена локација
Београд,Београд - Земун,Београд (Земун),ПУ Сима Милошевић,ОЈ Бубамара вртић,Браће Крњешевац,6,11185,Издвојена локација
Београд,Београд - Земун,Београд (Земун),ПУ Сима Милошевић,ОЈ Врапче,Београдска,43529,11080,Издвојена локација
Београд,Београд - Земун,Београд (Земун),ПУ Сима Милошевић,ОЈ Зврк,Словенска,4,11080,Издвојена локација
Београд,Београд - Земун,Београд (Земун),ПУ Сима Милошевић,ОЈ Мрвица,Шилерова,87,11080,Издвојена локација
Београд,Београд - Земун,Београд (Земун),ПУ Сима Милошевић,ОЈ Петар Пан,Пуковника Миленка Павловића,136 б,11273,Издвојена локација
Београд,Београд - Земун,Београд (Земун),ПУ Сима Милошевић,ОЈ Камичак,Славише Вајнера,бб,11080,Издвојена локација
Београд,Београд - Земун,Београд (Земун),ПУ Сима Милошевић,Издвојено одељење при ОШ Михаило Пупин,Емилије Јакшић,31,11186,Издвојена локација
Београд,Београд - Земун,Београд (Земун),ПУ Сима Милошевић,ОЈ Веверица,Сестара Страин,50,11186,Издвојена локација
Београд,Београд - Земун,Београд (Земун),ПУ Сима Милошевић,ОЈ Мала Сирена,Кеј ослобођења,бб,11070,Издвојена локација
Београд,Београд - Земун,Београд (Земун),ПУ Сима Милошевић,ОЈ Вила Звончица,22. октобра,49,11080,Издвојена локација
Београд,Београд - Земун,Београд (Земун),ПУ Сима Милошевић,ОЈ Браћа Абафи,Светозара Милетића,18,11080,Издвојена локација
Београд,Београд - Земун,Београд (Земун),ПУ Сима Милошевић,ОЈ Маца,Насеље 13.мај,бб,11185,Издвојена локација
Београд,Београд - Земун,Београд (Земун),ПУ Сима Милошевић,Издвојено одељење при ОШ Бошко Палковљевић Пинки,Пуковника Миленка Павловића,7а,11273,Издвојена локација
Београд,Београд - Земун,Београд (Земун),ПУ Сима Милошевић,ОЈ Мали Принц,Карловачка,27,11080,Издвојена локација
Београд,Београд - Земун,Београд (Земун),ПУ Сима Милошевић,Болничка група при КБЦ - Земун,Вукова,9,11080,Издвојена локација
Београд,Београд - Земун,Београд (Земун),ПУ Сима Милошевић,ОЈ Чворак,Далматинске загоре,92,11273,Издвојена локација
Београд,Београд - Земун,Београд (Земун),ПУ Сима Милошевић,ОЈ Цврчак,Вртларска,23,11080,Издвојена локација
Београд,Београд - Земун,Београд (Земун),ПУ Сима Милошевић,ОЈ Флора,Ђорђа Пантелића,бб,11080,Издвојена локација
Београд,Београд - Земун,Београд (Земун),ПУ Сима Милошевић,ОЈ Палчић,Новоградска,73,11080,Издвојена локација
Београд,Београд - Земун,Београд (Земун),ПУ Сима Милошевић,ОЈ ОАЗА,Батајнички друм,23,11186,Издвојена локација
Београд,Београд - Земун,Београд (Земун),ПУ Сима Милошевић,ОЈ Земунски бисер са централном кухињом,Драгана Ракића,39,11080,Издвојена локација
Београд,Београд - Земун,Београд (Земун),ПУ Сима Милошевић,Издвојено одељење при ОШ Гаврило Принцип,Крајишка,34,11080,Издвојена локација
Београд,Београд - Земун,Београд (Земун),ПУ Сима Милошевић,ОЈ Бубамара јасле,Душана Мађарчића Корчагина,5,11185,Издвојена локација
Београд,Београд - Земун,Београд (Земун),ПУ Сима Милошевић,ОЈ Алиса,Старца Вујадина,7,11080,Издвојена локација
Београд,Београд - Земун,Београд (Земун),ПУ Сима Милошевић,ОЈ Први корак ( јасле ),Џорџа Вашингтона,5,11080,Издвојена локација
Београд,Београд - Земун,Београд (Земун),ПУ Сима Милошевић,ОЈ Колибри,Цара Душана,87,11080,Издвојена локација
Београд,Београд - Земун,Београд (Земун),ПУ Сима Милошевић,Издвојено одељење при ОШ Бранко Радичевић,Браће Михајловић Трипић,2,11273,Издвојена локација
Београд,Београд - Земун,Београд (Земун),ПУ Сима Милошевић,ОЈ Пачија школа,Михаила Вукше,2а,11186,Издвојена локација
Београд,Београд - Земун,Београд (Земун),ПУ Сима Милошевић,ОЈ Милица,Добановачки пут,58,11283,Издвојена локација
Београд,Београд - Земун,Београд (Земун),ПУ Сима Милошевић,ОЈ Пчелица Маја,Новоградска,17,11080,Издвојена локација
Београд,Београд - Земун,Угриновци,ПУ Сима Милошевић,ОЈ Рода и део Дома културе,Београдска,2,11277,Издвојена локација
Београд,Београд - Лазаревац,Лазаревац,ПУ Ракела Котаров-Вука,Детињство,Даре Ранђић,1,11550,Матична локација
Београд,Београд - Лазаревац,Барзиловица,ПУ Ракела Котаров-Вука,Палчица,Станије Томић,бб,11568,Издвојена локација
Београд,Београд - Лазаревац,Велики Црљени,ПУ Ракела Котаров-Вука,Сунцокрет,насеље ТЕК-а,бб,11550,Издвојена локација
Београд,Београд - Лазаревац,Вреоци,ПУ Ракела Котаров-Вука,Вреоци,Вреоци,бб,11550,Издвојена локација
Београд,Београд - Лазаревац,Дудовица,ПУ Ракела Котаров-Вука,Дудовица,Дудовица,бб,11550,Издвојена локација
Београд,Београд - Лазаревац,Лазаревац,ПУ Ракела Котаров-Вука,Депанданс Анђелчић,Д.П. Шана,бб,11550,Издвојена локација
Београд,Београд - Лазаревац,Лазаревац,ПУ Ракела Котаров-Вука,Анастасија,Светог Димитрија,22,11550,Издвојена локација
Београд,Београд - Лазаревац,Лазаревац,ПУ Ракела Котаров-Вука,Депанданс Пчелице,Ђорђа Ковачевића,23,11550,Издвојена локација
Београд,Београд - Лазаревац,Лазаревац,ПУ Ракела Котаров-Вука,Дечје царство,Дула Караклајића,31а,11550,Издвојена локација
Београд,Београд - Лазаревац,Лазаревац,ПУ Ракела Котаров-Вука,Депаданс Лептирић,Вељка Влаховића,42,11550,Издвојена локација
Београд,Београд - Лазаревац,Лазаревац,ПУ Ракела Котаров-Вука,Буба Мара,Доситеја Обрадовића,43556,11550,Издвојена локација
Београд,Београд - Лазаревац,Петка,ПУ Ракела Котаров-Вука,Звончица,Црквени пут,бб,11550,Издвојена локација
Београд,Београд - Лазаревац,Рудовци,ПУ Ракела Котаров-Вука,Крцко,Аранђеловачки пут,бб,11566,Издвојена локација
Београд,Београд - Лазаревац,Рудовци,ПУ Ракела Котаров-Вука,Рудовци,Аранђеловачки пут,бб,11566,Издвојена локација
Београд,Београд - Лазаревац,Рудовци,ПУ Ракела Котаров-Вука,Крцко Орашчић,Радничка,2,11566,Издвојена локација
Београд,Београд - Лазаревац,Степојевац,ПУ Ракела Котаров-Вука,Лола,7.октобра,бб,11564,Издвојена локација
Београд,Београд - Лазаревац,Шопић,ПУ Ракела Котаров-Вука,Маслачак,Црквено поље,бб,11550,Издвојена локација
Београд,Београд - Младеновац,Амерић,ПУ Јрлица Обрадовић,припремна предшколска група при ОШ Бора Лазић у Америћу,Амерић,бб,11400,Издвојена локација
